mgra_13,cocpa_13,jurisdiction_2015,jurisdiction_2016,cicpa_13
22711,NULL,3,3,NULL
2645,NULL,14,14,1404
89,NULL,14,14,1442
587,NULL,14,14,1458
4417,NULL,14,14,1466
9492,NULL,9,9,NULL
13322,NULL,17,17,NULL
16239,1912,19,19,NULL
22227,1901,19,19,NULL
195,NULL,14,14,1442
3896,NULL,14,14,1427
7726,NULL,11,11,NULL
21337,1902,19,19,NULL
21835,1908,19,19,NULL
4288,NULL,14,14,1410
7534,NULL,11,11,NULL
8616,NULL,2,2,NULL
979,NULL,14,14,1456
4225,NULL,14,14,1441
8602,NULL,2,2,NULL
9684,NULL,9,9,NULL
12930,1915,19,19,NULL
15549,1952,19,19,NULL
16631,1920,19,19,NULL
19877,1909,19,19,NULL
1669,1918,19,19,NULL
8410,NULL,2,2,NULL
10574,1907,19,19,NULL
12738,1915,19,19,NULL
21145,1922,19,19,NULL
4480,NULL,14,14,1421
6644,NULL,14,14,1420
8808,1921,19,19,NULL
18589,NULL,15,15,NULL
20753,1951,19,19,NULL
22917,NULL,1,1,NULL
7036,NULL,14,14,1426
8118,NULL,2,2,NULL
9200,1921,19,19,NULL
10282,NULL,5,5,NULL
11364,NULL,13,13,NULL
5854,NULL,14,14,1419
6936,1911,19,19,NULL
8018,NULL,2,2,NULL
9100,1921,19,19,NULL
10182,1903,19,19,NULL
2751,NULL,14,14,1401
3083,NULL,14,14,1424
6000,NULL,14,14,1406
10245,1903,5,5,NULL
18403,NULL,15,15,NULL
20063,NULL,7,7,NULL
7019,NULL,14,14,1426
11218,1907,19,19,NULL
17384,NULL,18,18,NULL
10199,1903,19,19,NULL
13116,NULL,4,4,NULL
20109,NULL,14,14,1432
4102,NULL,14,14,1410
8725,NULL,2,2,NULL
14135,NULL,1,1,NULL
14467,NULL,12,12,NULL
21082,1902,19,19,NULL
335,NULL,14,14,1428
5499,NULL,14,14,1406
6827,NULL,14,14,1425
8493,NULL,2,2,NULL
12993,NULL,15,15,NULL
15655,1953,19,19,NULL
22811,NULL,11,11,NULL
1609,NULL,14,14,1444
4271,NULL,14,14,1427
20255,1914,19,19,NULL
21583,1904,19,19,NULL
12947,1915,19,19,NULL
18357,NULL,15,15,NULL
21775,1904,19,19,NULL
22857,NULL,11,11,NULL
1563,NULL,14,14,1444
6973,NULL,14,14,1426
10391,NULL,5,5,NULL
11473,NULL,14,14,1429
11719,1915,19,19,NULL
12801,1915,19,19,NULL
16883,1909,19,19,NULL
18211,1909,19,19,NULL
1500,NULL,14,14,1468
9575,NULL,9,9,NULL
16737,1920,19,19,NULL
527,NULL,14,14,1459
15718,1953,19,19,NULL
20046,NULL,7,7,NULL
1546,NULL,14,14,1444
2628,NULL,14,14,1404
11281,1907,19,19,NULL
15609,1953,19,19,NULL
16691,1920,19,19,NULL
18526,NULL,15,15,NULL
18858,NULL,7,7,NULL
19608,NULL,19,19,NULL
19940,NULL,7,7,NULL
14198,NULL,1,1,NULL
3020,NULL,14,14,1414
7643,NULL,11,11,NULL
14590,NULL,12,12,NULL
15217,1953,19,19,NULL
15672,1953,19,19,NULL
20000,1909,19,19,NULL
20332,1914,19,19,NULL
916,NULL,14,14,1457
2582,NULL,14,14,1404
14636,NULL,12,12,NULL
16302,1920,19,19,NULL
18466,NULL,15,15,NULL
21128,1922,19,19,NULL
22794,NULL,11,11,NULL
962,NULL,14,14,1457
14782,NULL,12,12,NULL
15864,1953,19,19,NULL
16110,1912,19,19,NULL
16946,NULL,18,18,NULL
17192,NULL,12,12,NULL
18274,1909,19,19,NULL
20192,1914,19,19,NULL
21274,1922,19,19,NULL
21520,1904,19,19,NULL
22602,NULL,14,14,1430
22356,1911,19,19,NULL
26,NULL,14,14,1442
