mgra_13,cocpa_13,jurisdiction_2015,jurisdiction_2016,cicpa_13
272,NULL,14,14,1442
1108,NULL,14,14,1438
1354,NULL,14,14,1444
2436,NULL,14,14,1402
16256,1912,19,19,NULL
17338,NULL,18,18,NULL
18420,NULL,15,15,NULL
22748,NULL,3,3,NULL
2170,NULL,14,14,1469
3664,NULL,14,14,1417
7411,NULL,3,3,NULL
7909,NULL,2,2,NULL
10328,NULL,5,5,NULL
10826,NULL,14,14,1407
2691,NULL,14,14,1404
3189,NULL,14,14,1430
6392,NULL,14,14,1447
6890,NULL,14,14,1425
13554,NULL,6,6,NULL
20501,1914,19,19,NULL
22210,1901,19,19,NULL
15048,NULL,12,12,NULL
9117,1921,19,19,NULL
14527,NULL,12,12,NULL
17773,NULL,18,18,NULL
21191,1922,19,19,NULL
9807,NULL,9,9,NULL
13053,NULL,6,6,NULL
2001,NULL,14,14,1469
2499,NULL,14,14,1404
4165,NULL,14,14,1410
4663,NULL,14,14,1441
10657,1907,19,19,NULL
5937,NULL,14,14,1406
6435,NULL,14,14,1447
8101,NULL,2,2,NULL
10783,1907,19,19,NULL
11865,NULL,14,14,1431
14029,NULL,6,6,NULL
17275,NULL,18,18,NULL
19439,1909,19,19,NULL
20521,1914,19,19,NULL
20693,1902,19,19,NULL
9309,NULL,14,14,1444
12555,NULL,13,13,NULL
14719,NULL,12,12,NULL
15801,1955,19,19,NULL
17965,NULL,18,18,NULL
1417,1921,19,19,NULL
3836,NULL,14,14,1427
4334,NULL,14,14,1410
5745,NULL,14,14,1406
8164,NULL,2,2,NULL
8662,NULL,2,2,NULL
12492,NULL,14,14,1431
1025,NULL,14,14,1456
4726,NULL,14,14,1441
5353,NULL,14,14,1406
8556,NULL,2,2,NULL
9054,1921,19,19,NULL
12884,NULL,6,6,NULL
13382,NULL,6,6,NULL
22665,NULL,14,14,1461
17945,NULL,18,18,NULL
19027,NULL,7,7,NULL
22273,1901,19,19,NULL
22336,1906,19,19,NULL
1088,NULL,14,14,1458
3252,NULL,14,14,1430
4918,NULL,14,14,1415
5416,NULL,14,14,1406
7082,NULL,14,14,1433
7580,NULL,11,11,NULL
9246,NULL,10,10,NULL
9744,NULL,9,9,NULL
11410,NULL,13,13,NULL
11908,1915,19,19,NULL
13574,NULL,6,6,NULL
5310,NULL,14,14,1406
5808,NULL,14,14,1412
7474,NULL,3,3,NULL
7972,NULL,2,2,NULL
9638,NULL,9,9,NULL
10136,1919,19,19,NULL
11802,1915,19,19,NULL
12300,NULL,14,14,1434
13966,NULL,6,6,NULL
16130,1920,19,19,NULL
3644,NULL,14,14,1417
1921,NULL,14,14,1457
3913,NULL,14,14,1427
6830,NULL,14,14,1425
9747,NULL,9,9,NULL
11739,1915,19,19,NULL
14656,NULL,12,12,NULL
2562,NULL,14,14,1404
10388,NULL,5,5,NULL
15343,1953,19,19,NULL
18214,NULL,15,15,NULL
1042,NULL,14,14,1457
1875,NULL,14,14,1468
4792,NULL,14,14,1415
11785,1915,19,19,NULL
13777,NULL,6,6,NULL
16694,1920,19,19,NULL
18855,NULL,7,7,NULL
21772,1904,19,19,NULL
401,NULL,14,14,1428
524,NULL,14,14,1459
5479,NULL,14,14,1406
12426,NULL,13,13,NULL
16176,1920,19,19,NULL
17381,NULL,18,18,NULL
18168,NULL,1,1,NULL
8914,1919,19,19,NULL
10906,NULL,16,16,NULL
18732,1909,19,19,NULL
19734,NULL,7,7,NULL
21649,1904,19,19,NULL
6312,NULL,14,14,1434
8304,NULL,2,2,NULL
10265,NULL,5,5,NULL
20298,1914,19,19,NULL
21085,1902,19,19,NULL
22290,1901,19,19,NULL
8868,1919,19,19,NULL
17696,NULL,1,1,NULL
18778,1909,19,19,NULL
