BlockCode,MaxAdDn,MaxAdUp,temp
60730004002011,24.0,1.28,0
60730022021008,18.0,1.024,0
60730023011001,69.5,10.896,0
60730032012009,21.0,1.1520000000000001,0
60730032041006,99.0,21.28,0
60730033051002,24.0,1.28,0
60730034013005,18.0,1.024,0
60730035012001,71.0,11.152000000000001,0
60730047002003,96.0,21.152,0
60730050001040,96.0,21.152,0
60730050001067,74.0,11.28,0
60730050001068,74.0,11.28,0
60730052001024,74.0,11.28,0
60730053002004,24.0,1.28,0
60730053003013,24.0,1.28,0
60730056002007,71.0,11.152000000000001,0
60730056002021,18.0,1.024,0
60730057002010,18.0,1.024,0
60730058001003,12.0,1.024,0
60730058001036,96.0,21.152,0
60730065001043,4.5,0.768,0
60730081023031,93.768,20.896,0
60730083013009,46.0,6.152,0
60730083032021,99.0,21.28,0
60730083292001,96.0,21.152,0
60730083293002,96.0,21.152,0
60730083461033,6.0,0.512,0
60730085111079,9.0,0.896,0
60730085111153,30.0,3.512,0
60730089013005,68.0,10.768,0
60730091061028,3.0,0.384,0
60730093041030,6.0,0.512,0
60730095053006,99.0,21.28,0
60730096034001,99.0,21.28,0
60730096034004,6.0,0.512,0
60730096034012,6.0,0.512,0
60730100041008,74.0,11.28,0
60730100101011,68.768,10.896,0
60730100103001,71.0,11.152000000000001,0
60730100141016,24.0,1.28,0
60730100141022,18.0,1.024,0
60730100141030,8.0,0.984,0
60730100142067,18.0,1.024,0
60730100151025,24.0,1.28,0
60730100151027,31.0,2.512,0
60730101031004,4.5,0.512,0
60730101031060,99.0,21.28,0
60730101061006,94.5,20.896,0
60730101071010,71.0,11.152000000000001,0
60730111003005,99.0,21.28,0
60730116021006,9.0,0.896,0
60730116021007,6.0,0.768,0
60730118011000,24.0,1.28,0
60730120021006,68.768,10.896,0
60730121021014,4.5,0.512,0
60730123042008,96.0,21.152,0
60730123042018,74.0,11.28,0
60730124023012,99.0,21.28,0
60730130003012,44.5,5.896,0
60730132051006,24.0,1.28,0
60730132051013,11.0,1.112,0
60730132051027,71.0,11.152000000000001,0
60730133082004,74.0,11.28,0
60730134101073,6.0,0.512,0
60730134101078,6.0,0.512,0
60730134161001,99.0,21.28,0
60730134182013,74.0,11.28,0
60730134182015,99.0,21.28,0
60730134192002,74.0,11.28,0
60730136051017,49.0,6.28,0
60730138011016,18.0,1.024,0
60730138013009,71.0,11.152000000000001,0
60730140014004,74.0,11.28,0
60730144001039,74.0,11.28,0
60730144002021,99.0,21.28,0
60730148033001,24.0,1.28,0
60730148033003,18.0,1.024,0
60730148033008,24.0,1.28,0
60730148033012,24.0,1.28,0
60730148053027,71.0,11.152000000000001,0
60730149021057,24.0,1.28,0
60730149021062,24.0,1.28,0
60730150002030,16.0,1.112,0
60730152004021,36.0,2.524,0
60730154032004,74.0,11.28,0
60730154041007,71.0,11.152000000000001,0
60730154061003,6.0,0.512,0
60730155011019,74.0,11.28,0
60730155011027,18.0,0.768,0
60730155011030,18.0,0.768,0
60730155011032,6.0,0.512,0
60730155012064,49.0,6.28,0
60730155013016,74.0,11.28,0
60730155013017,40.0,5.896,0
60730155013018,49.0,6.28,0
60730155021009,60.0,8.0,0
60730155021010,10.0,0.6,0
60730155021023,18.0,0.768,0
60730155021024,25.0,2.0,0
60730155021055,25.0,2.0,0
60730156021000,74.0,11.28,0
60730160001015,96.0,21.152,0
60730160001018,3.768,0.512,0
60730161001021,71.0,11.152000000000001,0
60730162021021,69.5,10.896,0
60730162021054,9.0,0.896,0
60730162021081,12.0,1.024,0
60730164021066,74.0,11.28,0
60730166071014,46.0,6.152,0
60730166071016,9.0,0.896,0
60730166141009,24.0,1.28,0
60730166171008,69.5,10.896,0
60730168022049,4.5,0.512,0
60730168022053,9.0,0.896,0
60730168022060,6.0,0.768,0
60730168022073,24.0,1.28,0
60730168044012,99.0,21.28,0
60730168071001,71.0,11.152000000000001,0
60730168073005,71.0,11.152000000000001,0
60730168073012,93.0,20.768,0
60730168092003,6.0,0.768,0
60730168093014,69.5,10.896,0
60730169011015,10.0,1.0,0
60730169014020,9.0,0.896,0
60730169021071,10.0,1.0,0
60730169021126,8.0,0.984,0
60730170091012,24.0,1.28,0
60730170101012,6.0,0.512,0
60730170101014,6.0,0.512,0
60730170101024,6.0,0.512,0
60730170141001,18.0,1.024,0
60730170192009,74.0,11.28,0
60730170224006,99.0,21.28,0
60730170291087,74.0,11.28,0
60730170291118,49.0,6.28,0
60730170291154,99.0,21.28,0
60730170292012,9.0,0.896,0
60730170301042,99.0,21.28,0
60730170522004,96.0,21.152,0
60730170522006,96.0,21.152,0
60730170553010,99.0,21.28,0
60730170561003,6.0,0.512,0
60730171061041,18.0,1.024,0
60730171062015,96.0,21.152,0
60730171062024,38.5,5.64,0
60730171062027,31.0,2.512,0
60730171062029,40.0,5.896,0
60730171062033,18.0,1.024,0
60730171063004,53.0,7.384,0
60730171063011,69.5,10.896,0
60730171063016,56.0,7.5120000000000005,0
60730171063027,9.0,0.896,0
60730171064002,81.0,12.512,0
60730171064004,81.0,12.512,0
60730171064012,99.0,21.28,0
60730171064019,15.0,0.896,0
60730171064021,31.0,2.512,0
60730171064032,81.0,12.512,0
60730171064036,99.0,21.28,0
60730171101019,6.0,0.512,0
60730171101073,43.0,5.768,0
60730171101075,68.768,10.896,0
60730171103001,6.0,0.512,0
60730171103034,74.0,11.28,0
60730172002000,49.0,6.28,0
60730174013037,74.0,11.28,0
60730174031002,43.768,5.896,0
60730174031016,46.0,6.152,0
60730174032000,71.0,11.152000000000001,0
60730175012018,96.0,21.152,0
60730175012060,69.5,10.896,0
60730178112001,68.768,10.896,0
60730178131012,99.0,21.28,0
60730178131013,99.0,21.28,0
60730178131023,99.0,21.28,0
60730180001005,74.0,11.28,0
60730184002024,9.0,0.896,0
60730184003031,16.0,1.112,0
60730185121000,24.0,1.28,0
60730185161000,6.0,0.512,0
60730185161001,6.0,0.512,0
60730185192003,68.768,10.896,0
60730186032004,16.0,1.112,0
60730186032018,18.0,1.024,0
60730186032030,24.0,1.28,0
60730186032040,24.0,1.28,0
60730186081013,99.0,21.28,0
60730186111001,18.0,0.768,0
60730186111003,25.0,2.0,0
60730186111004,18.0,0.768,0
60730186111044,6.0,0.512,0
60730186112000,18.0,0.768,0
60730186112001,18.0,0.768,0
60730186112020,12.0,1.024,0
60730186121005,106.0,22.512,0
60730186121006,106.0,22.512,0
60730186121008,56.0,7.5120000000000005,0
60730186121009,81.0,12.512,0
60730188011018,43.0,6.024,0
60730188021000,18.0,0.768,0
60730188022006,74.0,11.28,0
60730188025031,12.0,0.512,0
60730188031036,100.0,22.0,0
60730188031037,75.0,12.0,0
60730188032000,100.0,22.0,0
60730188032003,100.0,22.0,0
60730188032005,37.0,5.5120000000000005,0
60730188032008,75.0,12.0,0
60730188032021,6.0,0.768,0
60730188032022,50.0,7.0,0
60730188032024,50.0,7.0,0
60730188032029,93.0,20.768,0
60730188032037,43.0,5.768,0
60730188032043,68.0,10.768,0
60730188033007,74.0,11.28,0
60730188033039,56.0,7.5120000000000005,0
60730188033043,6.0,0.512,0
60730188033059,56.0,7.5120000000000005,0
60730189031007,43.768,5.896,0
60730189042039,68.0,10.768,0
60730189051007,68.0,10.768,0
60730190011044,50.0,20.0,0
60730190012039,50.0,7.0,0
60730190012059,50.0,7.0,0
60730190012064,75.0,12.0,0
60730190012080,68.0,10.768,0
60730190012083,50.0,7.0,0
60730190013000,43.0,5.768,0
60730190013002,93.0,20.768,0
60730190013004,100.0,22.0,0
60730190013018,93.0,20.768,0
60730190013020,37.0,5.5120000000000005,0
60730190013035,96.0,21.152,0
60730190013036,46.0,6.152,0
60730190013038,18.768,0.896,0
60730190013042,18.0,0.768,0
60730190013047,44.5,5.896,0
60730190013051,37.768,5.64,0
60730190013053,30.0,2.012,0
60730190021014,50.0,7.0,0
60730190021017,50.0,7.0,0
60730190021036,100.0,22.0,0
60730191011041,25.0,2.0,0
60730191011045,22.0,1.512,0
60730191011050,25.0,2.0,0
60730191011053,25.0,2.0,0
60730191011054,25.0,2.0,0
60730191011056,6.0,0.512,0
60730191011057,12.0,0.512,0
60730191011089,25.0,2.0,0
60730191011092,25.0,2.0,0
60730191011098,10.0,0.6,0
60730191011100,12.0,0.512,0
60730191011121,10.0,1.0,0
60730191011131,6.0,0.512,0
60730191011191,50.0,20.0,0
60730191011227,10.0,1.0,0
60730191012030,10.0,1.0,0
60730191012046,10.0,1.0,0
60730191012051,25.0,2.0,0
60730191012059,25.0,2.0,0
60730191012062,53.0,7.384,0
60730191012066,53.0,7.384,0
60730191012067,40.0,5.896,0
60730191012068,56.0,7.5120000000000005,0
60730191012075,25.0,2.0,0
60730191012080,25.0,2.0,0
60730191013026,10.0,1.0,0
60730191013027,10.0,1.0,0
60730191013032,10.0,1.0,0
60730191013121,100.0,22.0,0
60730191013128,16.0,1.512,0
60730191013131,10.0,1.0,0
60730191013158,16.0,1.512,0
60730191013160,53.0,7.384,0
60730191013161,50.0,7.0,0
